,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! RT @mayasolovely: As a woman you shouldnt complain about cleaning up your house. as a man you should always take the trash out...
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya
5,3,1,2,0,1,!!!!!!!!!!!!!!!!!!@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!
6,3,0,3,0,1,!!!!!!@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!
7,3,0,3,0,1,!!!!@selfiequeenbri: cause Im tired of you big bitches coming for us skinny girls!!
8,3,0,3,0,1, you might not get ya bitch back thats that
9,3,1,2,0,1, @rhythmixx_ :hobbies include: fighting Mariam
10,3,0,3,0,1, Keeks is a bitch she curves everyone  lol I walked into a conversation like this. Smh
11,3,0,3,0,1, Murda Gang bitch its Gang Land
12,3,0,2,1,1, So hoes that smoke are losers ?  yea ... go on IG
13,3,0,3,0,1, bad bitches is the only thing that i like
14,3,1,2,0,1, bitch get up off me
15,3,0,3,0,1, bitch nigga miss me with it
16,3,0,3,0,1, bitch plz whatever
17,3,1,2,0,1, bitch who do you love
18,3,0,3,0,1, bitches get cut off everyday B
19,3,0,3,0,1, black bottle a bad bitch
20,3,0,3,0,1, broke bitch cant tell me nothing
21,3,0,3,0,1, cancel that bitch like Nino
22,3,0,3,0,1, cant you see these hoes wont change
23,3,0,3,0,1, fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up
