text,isHate
!!! RT @mayasolovely: As a woman you shouldnt complain about cleaning up your house. as a man you should always take the trash out...,0
!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,0
!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,0
!!!!!!!!! RT @C_G_Anderson: @viva_based she look like a tranny,0
!!!!!!!!!!!!! RT @ShenikaRoberts: The shit you hear about me might be true or it might be faker than the bitch who told it to ya,0
!!!!!!!!!!!!!!!!!!@T_Madison_x: The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes!,1
!!!!!!@__BrighterDays: I can not just sit up and HATE on another bitch .. I got too much shit going on!,0
!!!!@selfiequeenbri: cause Im tired of you big bitches coming for us skinny girls!!,0
you might not get ya bitch back thats that,0
@rhythmixx_ :hobbies include: fighting Mariam,1
Keeks is a bitch she curves everyone  lol I walked into a conversation like this. Smh,0
Murda Gang bitch its Gang Land,0
So hoes that smoke are losers ?  yea ... go on IG,0
bad bitches is the only thing that i like,0
bitch get up off me,1
bitch nigga miss me with it,0
bitch plz whatever,0
bitch who do you love,1
bitches get cut off everyday B,0
black bottle a bad bitch,0
broke bitch cant tell me nothing,0
cancel that bitch like Nino,0
cant you see these hoes wont change,0
fuck no that bitch dont even suck dick   the Kermit videos bout to fuck IG up,0
got ya bitch tip toeing on my hardwood floors   http://t.co/cOU2WQ5L4q,0
her pussy lips like Heaven doors,0
hoe what its hitting for,0
i met that pussy on Ocean Dr . i gave that pussy a pill,0
i need a trippy bitch who fuck on Hennessy,0
i spend my money how i want bitch its my business,0
i txt my old bitch my new bitch pussy wetter,0
id say im back to the old me but my old bitches would get excited,0
if you aint bout that Murder Game pussy nigga shut up,0
if youre toes aint done you pussy stinks,0
im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that,0
is that ya bitch,0
it aint nothing to cut a bitch off,0
jus meet son now he ya mane ass bitches  #Shots,0
lames crying over hoes thats tears of a clown,0
like Snoop said in 94 we dont love these hoes,0
momma said no pussy cats inside my doghouse,0
most hated but the hoes favorite  #2MW #SevenOne # http://t.co/BMdSVMc3rC,0
nice girls bad,0
pimps up pimps up hoes down  Future voice,0
post a picture of that pussy get 200 likes,0
pussy is a powerful drug   #HappyHumpDay http://t.co/R8jsymiB5b,0
quick piece of pussy call it a drive by,0
running round here like some brand new pussy thats bout to get fucked,0
these bitches even worst theyll send them guys for you,0
these hoes like niggas that spend money not talk bout it,1
we dont trust these niggas all these bitches,1
yall niggas b cuffing hoes cause yall aint never have bitches,0
you dodge a bullet   @DaRealKha: All da bitches I cut off pregnant or bound to be ....thank God,0
young Pill Chamberlain these bitches love my music,0
@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........,0
@DaHomieFuzz: Gay niggas couldnt wait to act like bitches tonight,0
@The_Paradox: And ima steal his cat n replace it with a pitbull  RT @80sbaby4life: @The_Paradox He a bitch you should do it,0
hes gone always be a hoe,0
...Son of a bitch took my Tic Tacs.I like this movie.,0
..All I wanna do is get money and fuck model bitches! - Russell Simmons,0
@2015seniorprobs: I probably wouldnt mind school as much if we didnt have to deal with bitch ass teachers. Retweet,0
@A7XDemery: Im a fucking fag they said,0
@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz how does doing this stuff make him a pussy?,0
@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof hot scally lad,0
@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Yes,0
@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?!  I SWEAR!!!!!,0
@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof and hot soles,0
@Allyhaaaaa: Lemmie eat a Oreo do these dishes. One oreo? Lol,0
@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 maybe youll get better. Just http://t.co/TPreVwfq0S,0
@Almightywayne__: Fuck Red Malone man bitch ass niggah could you please use complete sentences?,1
@ArizonasFinest6: Why the eggplant emoji doe?y he say she looked like scream lmao,0
@AutoWorId: Hennessey Venom GT  http://t.co/i8eGMnKaJ9 thats one sexy bitch,0
@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!,0
@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit,0
@BVSEDCHINK: Yo fuck skateboarding,1
@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0RAwwwwe! This is soooo ADORABLE!,0
@BaylaaGottaBody:  I aint shit . Damn Skippy lol,0
@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussyNo bs must b &gt;30%chance,1
@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol,0
@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up,1
@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e hes a pussy with not tattooing them nipples,0
@Bill215_:  RT @nel_ayden Bitches be wanting to act like niggas so bad  that shit aint cuteeeee but niggas act like bitches..,0
@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou woof woof,0
@BlackChiquitita: Wow. RT @thatmanpalmer Im lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6 yeah shes a hoe,1
@BlackNerdJade: Ok,0
@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer gaywad,2
@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it wasnt even funny lol,0
@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx fr ..... LULWHORE,0
@CASHandBOOBIES: I been kidnapped yo bitch,0
@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican,3
@CCobey: @AydanMcCoy happy birthday nigs Thanks yo,1
@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!,1
@CaelanG15: @22EdHam: @CaelanG15 that nigga was eating that hoe lol Hell Yea lol john Paul nigga said john paul.. http://t.co/OSIpBKPr9h,1
@CanIFuckOrNah: What would yall lil ugly bald headed bitches do if they stop making make-up weave?,0
@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas you better start looting my nig,1
@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.,0
@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R me as a 9 year old,0
@CeleyNichole: @white_thunduh how come you never bring me food i dont have a car retard,0
@ChadMFVerbeck: If Richnow doesnt show up with hella tinder hoes Im not his friend anymore chill I brought like like 8 prople,0
@ChandlerParsons: How bout them Cowboys!!!! Shutup pussy,1
@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI &lt;bitch want likes for some depressing shit..foh,0
@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you you was going lbvsbitch plz,0
@Coley_Cee: Let me make a couple tweets off cuzzo page,0
@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.,0
@ComedyTruth: amen miley  http://t.co/P2Kb2tfyxrokay,0
@CoryBandz: having one loyal female is wayyyyy better than having hoes,0
@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014  https://t.co/KeegDCjS5K,0
@DBAB_Holloway: Check out our 12th man. #CowboysNation even with all those faggot ny fans in the stands,0
@DGotBricks: What happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch,0
@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat  wow,0
@DevilGrimz: @VigxRArts youre fucking gay,3
@DiamondLoudKush: The fuck be wrong with these bitches? Nobody knows,0
@Dietrich1892: Yall shut up:p make me bitch,0
@DionaIrish: I hate a Im pregnant type of bitch.,1
@DoYou_Q: Got bitches in the DM but I dont ever readem which is y your top 3,0
@DomWorldPeace: Baseball season for the win. #Yankees This is where the love started,0
@Dommoneek: Little stupid as bitch I dont fuck with yoooooouuuu..,0
@DreadheadAri: she really asked me that dead ass serious tho,0
@DunderbaIl: Im an early bird and Im a night owl,0
@EdgarPixar: Overdosing on heavy drugs doesnt sound bad tonight. I do that pussy shit every day.,0
@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLhThey *are* fairy tale creatures.,0
@Ferocious_Ghost: @1stName_Bravo Aw. ...fag,0
